Season,Club,First Name,Last Name,Position,Total Compensation,Base Salary
2007,LA Galaxy,David,Beckham,M,"$6,500,000.00","$5,500,000.00"
2007,Chicago Fire FC,Cuauhtemoc,Blanco,F,"$2,666,778.00","$2,492,316.00"
2007,New York Red Bulls,Juan Pablo,Angel,F,"$1,593,750.00","$1,500,000.00"
2007,New York Red Bulls,Claudio,Reyna,M,"$1,250,008.00","$1,000,008.00"
2007,LA Galaxy,Landon,Donovan,F,"$900,000.00","$900,000.00"
2007,FC Dallas,Denilson,De Oliveira,M,"$879,936.00","$872,736.00"
2007,Sporting Kansas City,Eddie,Johnson,F,"$875,000.00","$750,000.00"
2007,FC Dallas,Carlos,Ruiz,F,"$435,000.00","$325,000.00"
2007,New York Red Bulls,Clint,Mathis,M-F,"$410,000.00","$270,000.00"
2007,New England Revolution,Taylor,Twellman,F,"$350,008.00","$325,008.00"
2007,Houston Dynamo,Dwayne,DeRosario,M,"$325,000.00","$325,000.00"
2007,Toronto FC,Carl,Robinson,M,"$315,000.00","$300,000.00"
2007,Colorado Rapids,Pablo,Mastroeni,M-D,"$298,000.00","$280,000.00"
2007,DC United,Luciano,Emilio,F,"$293,125.00","$265,000.00"
2007,DC United,Jaime,Moreno,F,"$275,000.00","$250,000.00"
2007,Chicago Fire FC,Paulo,Wanchope,F,"$267,500.00","$240,000.00"
2007,Real Salt Lake,Eddie,Pope,D,"$265,000.00","$265,000.00"
2007,Toronto FC,Ronnie,O'Brien,M,"$258,750.00","$240,000.00"
2007,Chivas USA,Ante,Razov,F,"$248,750.00","$245,000.00"
2007,DC United,Greg,Vanney,D,"$236,667.00","$216,667.00"
2007,Houston Dynamo,Richard,Mulrooney,M,"$233,200.00","$220,000.00"
2007,Toronto FC,Jeffrey,Cunningham,F,"$232,500.00","$220,000.00"
2007,New England Revolution,Pat,Noonan,F,"$227,500.00","$225,000.00"
2007,Chicago Fire FC,Chris,Armas,M,"$225,000.00","$225,000.00"
2007,DC United,,Carreiro da Silva Fred,M-F,"$222,008.00","$190,008.00"
2007,FC Dallas,Shaka,Hislop,GK,"$220,800.00","$220,800.00"
