Season,Club,D,F,GK,M,Total
2007,Chicago Fire FC,812766,3125891,103248,674400,4716305
2007,Chivas USA,602417,437350,132630,617250,1789647
2007,Colorado Rapids,498403,841200,100500,841200,2281303
2007,Columbus Crew SC,776306,601100,78570,652249,2108225
2007,DC United,386287,659925,136400,1093778,2276390
2007,FC Dallas,539019,771000,358375,1404371,3072765
2007,Houston Dynamo,505899,502548,231300,1194400,2434147
2007,LA Galaxy,365650,1440953,247129,7268322,9322054
2007,New England Revolution,597870,773208,212900,361870,1945848
2007,New York Red Bulls,276646,2051727,278650,2321066,4928089
2007,Real Salt Lake,703098,481508,176669,612975,1974250
2007,Sporting Kansas City,558250,1066050,192900,820350,2637550
2007,Toronto FC,905500,535625,187763,1025100,2653988
2008,Chicago Fire FC,706926,803158,111850,3186233,4808167
2008,Chivas USA,658479,603641,202374,1023352,2487846
2008,Colorado Rapids,640063,457221,101016,1317650,2515950
2008,Columbus Crew SC,807848,798033,120700,646100,2372681
2008,DC United,690700,1107357,241677,2841935,4881669
2008,FC Dallas,935639,424200,250875,942347,2553061
2008,Houston Dynamo,503996,508875,238496,1205728,2457095
2008,LA Galaxy,730325,1308751,158900,6979689,9177665
2008,New England Revolution,757083,433708,231450,793055,2215296
2008,New York Red Bulls,494525,1878181,176300,818583,3367589
2008,Real Salt Lake,670200,407446,219044,1121686,2418376
2008,San Jose Earthquakes,447537,763729,225900,1066217,2503383
2008,Sporting Kansas City,586600,1209130,195900,559425,2551055
2008,Toronto FC,793948,886465,202313,843754,2726480
2009,Chicago Fire FC,637576,770601,170350,3555702,5134229
2009,Chivas USA,848696,505575,167225,928198,2449694
2009,Colorado Rapids,706040,629608,205472,889000,2430120
2009,Columbus Crew SC,959030,1139946,145650,658925,2903551
2009,DC United,567688,1205411,88867,1416900,3278866
2009,FC Dallas,638942,323295,295775,1437815,2695827
2009,Houston Dynamo,722697,653155,256125,982167,2614144
2009,LA Galaxy,883424,1688042,194474,7000066,9766006
2009,New England Revolution,770633,923077,227444,856850,2778004
2009,New York Red Bulls,662125,1989088,159250,738875,3549338
2009,Real Salt Lake,677935,422761,260500,838846,2200042
2009,San Jose Earthquakes,312450,506895,248356,1048503,2116204
2009,Seattle Sounders FC,540633,566129,384000,1916450,3407212
2009,Sporting Kansas City,664133,682047,219750,680618,2246548
2009,Toronto FC,855034,720934,168350,2407850,4152168
2010,Chicago Fire FC,709510,900708,128000,3820886,5559104
2010,Chivas USA,638599,711979,207496,919475,2477549
2010,Colorado Rapids,920139,695250,231500,863225,2710114
2010,Columbus Crew SC,823610,469291,176000,1339302,2808203
2010,DC United,700570,691591,291675,1197696,2881532
2010,FC Dallas,665380,663125,366125,1229688,2924318
2010,Houston Dynamo,654125,483250,281708,1146793,2565876
2010,LA Galaxy,814885,2744673,306959,7112077,10978594
2010,New England Revolution,441268,1205000,332011,1004754,2983033
2010,New York Red Bulls,5917380,8044988,232750,1471521,15666639
2010,Philadelphia Union,795213,480792,175500,1434895,2886400
2010,Real Salt Lake,862751,571929,211000,1000041,2645721
2010,San Jose Earthquakes,566900,292875,291056,1367759,2518590
2010,Seattle Sounders FC,835108,1334758,342500,605738,3118104
2010,Sporting Kansas City,951350,883512,197667,912579,2945108
2010,Toronto FC,807915,1750838,244833,2410796,5214382
2011,Chicago Fire FC,758604,799979,220433,1233666,3012682
2011,Chivas USA,763325,1872135,269996,1019464,3924920
2011,Colorado Rapids,1051176,930551,269750,921602,3173079
2011,Columbus Crew SC,818019,1038250,262767,1432379,3551415
2011,DC United,799937,446870,183750,2044859,3475416
2011,FC Dallas,670375,457796,441600,1760958,3330729
2011,Houston Dynamo,811958,1220896,168975,1290326,3492155
2011,LA Galaxy,841264,6293926,366706,7160083,14661979
2011,New England Revolution,578084,769587,275112,1324604,2947387
2011,New York Red Bulls,5050866,6082500,837664,1396717,13367747
2011,Philadelphia Union,665463,468875,521667,1913977,3569982
2011,Portland Timbers,550684,767963,400000,972045,2690692
2011,Real Salt Lake,823152,811879,258554,1428110,3321695
2011,San Jose Earthquakes,673450,564816,316304,1299033,2853603
2011,Seattle Sounders FC,725030,1420462,327104,927538,3400134
2011,Sporting Kansas City,889656,1157100,353250,1115254,3515260
2011,Toronto FC,924163,1756064,197000,3782393,6659620
