Club,Year,Total Salary,Average,Highest,Lowest
Atlanta United FC,2017,6373496.0,254939.84,1041310.0,53004.0
Atlanta United FC,2018,7277306.0,303221.0833333333,1425000.0,54500.0
Atlanta United FC,2019,11648347.0,465933.88,3058333.0,56250.0
Chicago Fire FC,2010,3977104.0,209321.26315789475,1788061.0,40000.0
Chicago Fire FC,2011,2410253.0,109556.95454545454,302500.0,32600.0
Chicago Fire FC,2012,3049858.0,132602.52173913043,487125.0,33750.0
Chicago Fire FC,2013,2865181.0,124573.08695652174,350000.0,35125.0
Chicago Fire FC,2014,3081615.0,133983.26086956522,417500.0,36500.0
Chicago Fire FC,2015,3938622.0,196931.1,901667.0,50000.0
Chicago Fire FC,2016,3387564.0,153980.18181818182,770938.0,51500.0
Chicago Fire FC,2017,11342174.0,472590.5833333333,5400000.0,54075.0
Chicago Fire FC,2018,13443549.0,560147.875,6100000.0,54500.0
Chicago Fire FC,2019,14713723.0,774406.4736842106,5600000.0,56250.0
Chivas USA,2010,1867740.0,93387.0,218500.0,40000.0
Chivas USA,2011,3032953.0,159629.1052631579,1250000.0,32604.0
Chivas USA,2012,2989425.0,149471.25,600000.0,33750.0
Chivas USA,2013,1793159.0,94376.78947368421,261333.0,35125.0
Chivas USA,2014,2570194.0,116827.0,446500.0,36500.0
Colorado Rapids,2010,2438614.0,116124.47619047618,350000.0,40000.0
Colorado Rapids,2011,2786657.0,116110.70833333333,400000.0,32604.0
Colorado Rapids,2012,2851347.0,129606.68181818182,400000.0,33750.0
Colorado Rapids,2013,2893470.0,120561.25,285000.0,35125.0
Colorado Rapids,2014,2693936.0,122451.63636363637,325000.0,36500.0
Colorado Rapids,2015,4613909.0,192246.20833333334,1170000.0,50000.0
Colorado Rapids,2016,5342729.0,267136.45,1668750.0,51500.0
Colorado Rapids,2017,5066868.0,266677.2631578947,1668750.0,54075.0
Colorado Rapids,2018,7020801.0,305252.2173913043,1668750.0,54500.0
Colorado Rapids,2019,5380181.0,233920.91304347827,750000.0,57225.0
Columbus Crew SC,2010,2068495.0,114916.38888888889,320000.0,40000.0
Columbus Crew SC,2011,1948073.0,102530.15789473684,320000.0,32600.0
Columbus Crew SC,2012,2646367.0,132318.35,341250.0,33750.0
Columbus Crew SC,2013,3110157.0,129589.875,604000.0,35125.0
Columbus Crew SC,2014,3168016.0,132000.66666666666,744000.0,36500.0
Columbus Crew SC,2015,5324292.0,221845.5,1175000.0,60000.0
Columbus Crew SC,2016,5421229.0,225884.54166666666,1175000.0,51500.0
Columbus Crew SC,2017,6222534.0,296311.14285714284,1050000.0,53004.0
Columbus Crew SC,2018,6213827.0,295896.5238095238,1100000.0,54500.0
Columbus Crew SC,2019,9341847.0,406167.26086956525,1471667.0,57225.0
DC United,2010,2589857.0,112602.47826086957,516200.0,37136.0
DC United,2011,2715541.0,123433.68181818182,525367.0,42000.0
DC United,2012,3018592.0,143742.47619047618,487460.0,44000.0
DC United,2013,2804948.0,112197.92,361000.0,35125.0
DC United,2014,3644122.0,140158.53846153847,613333.0,36500.0
DC United,2015,3771264.0,163968.0,493333.0,50000.0
DC United,2016,5262829.0,202416.5,901667.0,59750.0
DC United,2017,4826670.0,201111.25,602000.0,57476.0
DC United,2018,6176348.0,268536.8695652174,1000000.0,59500.0
DC United,2019,8594199.0,390645.4090909091,3507500.0,56250.0
FC Cincinnati,2019,8092771.0,323710.84,1965008.0,56250.0
FC Dallas,2010,2132298.0,101538.0,300000.0,40000.0
FC Dallas,2011,2667879.0,111161.625,705000.0,42000.0
FC Dallas,2012,4444041.0,193219.1739130435,1910746.0,33756.0
FC Dallas,2013,3606736.0,163942.54545454544,730000.0,36125.0
FC Dallas,2014,2708991.0,128999.57142857143,411000.0,36500.0
FC Dallas,2015,2873500.0,143675.0,442400.0,60000.0
FC Dallas,2016,4293043.0,165117.03846153847,686500.0,51500.0
FC Dallas,2017,7018385.0,250656.60714285713,880890.0,53000.0
FC Dallas,2018,8808569.0,326243.2962962963,949890.0,54500.0
FC Dallas,2019,7027888.0,281115.52,870000.0,70250.0
Houston Dynamo,2010,1891043.0,118190.1875,350000.0,40000.0
Houston Dynamo,2011,3078805.0,153940.25,425583.0,38225.0
Houston Dynamo,2012,2661242.0,133062.1,312063.0,38750.0
Houston Dynamo,2013,2947496.0,140356.95238095237,372063.0,35125.0
Houston Dynamo,2014,3875469.0,176157.68181818182,779167.0,36504.0
Houston Dynamo,2015,4353291.0,197876.86363636365,813333.0,50000.0
Houston Dynamo,2016,4420169.0,200916.77272727274,813333.0,51500.0
Houston Dynamo,2017,4792158.0,208354.69565217392,695000.0,53004.0
Houston Dynamo,2018,4514390.0,205199.54545454544,650340.0,54500.0
