Club,Year,Total Salary,Average,Highest,Lowest,Total_att,Average_att,Highest_att,Lowest_att
Atlanta United FC,2017,6373496.0,254939.84,1041310.0,53004.0,886625,49256.944444444445,71874,42511
Atlanta United FC,2018,7277306.0,303221.0833333333,1425000.0,54500.0,1114594,55729.7,73019,44696
Atlanta United FC,2019,11648347.0,465933.88,3058333.0,56250.0,1044339,52216.95,72548,41507
Chicago Fire FC,2010,3977104.0,209321.26315789475,1788061.0,40000.0,237210,15814.0,15814,15814
Chicago Fire FC,2011,2410253.0,109556.95454545454,302500.0,32600.0,242641,14273.0,14273,14273
Chicago Fire FC,2012,3049858.0,132602.52173913043,487125.0,33750.0,289870,16103.888888888889,20563,10489
Chicago Fire FC,2013,2865181.0,124573.08695652174,350000.0,35125.0,258880,15228.235294117647,19889,9723
Chicago Fire FC,2014,3081615.0,133983.26086956522,417500.0,36500.0,273293,16076.058823529413,18776,12699
Chicago Fire FC,2015,3938622.0,196931.1,901667.0,50000.0,272043,16002.529411764706,20280,11196
Chicago Fire FC,2016,3387564.0,153980.18181818182,770938.0,51500.0,265234,15602.0,18976,12073
Chicago Fire FC,2017,11342174.0,472590.5833333333,5400000.0,54075.0,307158,17064.333333333332,21891,11244
Chicago Fire FC,2018,13443549.0,560147.875,6100000.0,54500.0,251708,14806.35294117647,21915,8551
Chicago Fire FC,2019,14713723.0,774406.4736842106,5600000.0,56250.0,209516,12324.470588235294,18232,6074
Chivas USA,2010,1867740.0,93387.0,218500.0,40000.0,218625,14575.0,14575,14575
Chivas USA,2011,3032953.0,159629.1052631579,1250000.0,32604.0,252110,14830.0,14830,14830
Chivas USA,2012,2989425.0,149471.25,600000.0,33750.0,221950,13055.882352941177,18800,7723
Chivas USA,2013,1793159.0,94376.78947368421,261333.0,35125.0,142465,8380.29411764706,14575,5123
Chivas USA,2014,2570194.0,116827.0,446500.0,36500.0,120063,7062.529411764706,18652,3702
Colorado Rapids,2010,2438614.0,116124.47619047618,350000.0,40000.0,257287,14293.722222222223,21700,13329
Colorado Rapids,2011,2786657.0,116110.70833333333,400000.0,32604.0,268650,14139.473684210527,14838,8202
Colorado Rapids,2012,2851347.0,129606.68181818182,400000.0,33750.0,257972,15174.823529411764,19152,10969
Colorado Rapids,2013,2893470.0,120561.25,285000.0,35125.0,262479,15439.941176470587,18359,11774
