home,year,Total_att,Average_att,Highest_att,Lowest_att
Atlanta United FC,2017,886625,49256.944444444445,71874,42511
Atlanta United FC,2018,1114594,55729.7,73019,44696
Atlanta United FC,2019,1044339,52216.95,72548,41507
Chicago Fire FC,2010,237210,15814.0,15814,15814
Chicago Fire FC,2011,242641,14273.0,14273,14273
Chicago Fire FC,2012,289870,16103.888888888889,20563,10489
Chicago Fire FC,2013,258880,15228.235294117647,19889,9723
Chicago Fire FC,2014,273293,16076.058823529413,18776,12699
Chicago Fire FC,2015,272043,16002.529411764706,20280,11196
Chicago Fire FC,2016,265234,15602.0,18976,12073
Chicago Fire FC,2017,307158,17064.333333333332,21891,11244
Chicago Fire FC,2018,251708,14806.35294117647,21915,8551
Chicago Fire FC,2019,209516,12324.470588235294,18232,6074
Chivas USA,2010,218625,14575.0,14575,14575
Chivas USA,2011,252110,14830.0,14830,14830
Chivas USA,2012,221950,13055.882352941177,18800,7723
Chivas USA,2013,142465,8380.29411764706,14575,5123
Chivas USA,2014,120063,7062.529411764706,18652,3702
Colorado Rapids,2010,257287,14293.722222222223,21700,13329
Colorado Rapids,2011,268650,14139.473684210527,14838,8202
Colorado Rapids,2012,257972,15174.823529411764,19152,10969
Colorado Rapids,2013,262479,15439.941176470587,18359,11774
Colorado Rapids,2014,256206,15070.941176470587,18432,10086
Colorado Rapids,2015,266168,15656.941176470587,18597,10439
Colorado Rapids,2016,312198,16431.473684210527,18759,10670
Colorado Rapids,2017,260476,15322.117647058823,17648,13102
Colorado Rapids,2018,260660,15332.941176470587,17837,10790
Colorado Rapids,2019,242833,14284.29411764706,16998,10794
Columbus Crew SC,2010,229952,14372.0,14642,10322
Columbus Crew SC,2011,207145,12185.0,12185,12185
Columbus Crew SC,2012,244752,14397.176470588236,19674,10049
Columbus Crew SC,2013,273364,16080.235294117647,20392,10293
Columbus Crew SC,2014,296016,16445.333333333332,21318,9040
Columbus Crew SC,2015,343106,17155.3,22719,10302
Columbus Crew SC,2016,291128,17125.176470588234,20389,13114
Columbus Crew SC,2017,298174,15693.368421052632,21289,10318
Columbus Crew SC,2018,224495,12471.944444444445,19121,7683
Columbus Crew SC,2019,252555,14856.176470588236,20865,9687
