Team ,City ,State,Country,Conference,,,,,,,,,
Atlanta United FC,Atlanta,Georgia,USA,Eastern,,,,,,,,,
Chicago Fire FC,Chicago,Illinois,USA,Eastern,,,,,,,,,
Chivas USA,Carson,California,USA,Western,,,,,,,,,
Columbus Crew SC,Columbus,Ohio,USA,Eastern,,,,,,,,,
Colorado Rapids,Denver,Colorado,USA,Western,,,,,,,,,
FC Dallas,Dallas,Texas,USA,Western,,,,,,,,,
DC United,Washington D.C,District of Columbia,USA,Eastern,,,,,,,,,
Houston Dynamo,Houston,Texas,USA,Western,,,,,,,,,
LA Galaxy,Los Angeles,California,USA,Western,,,,,,,,,
LAFC,Los Angeles,California,USA,Western,,,,,,,,,
Minnesota United FC,Sait Paul,Minnesota,USA,Western,,,,,,,,,
Montreal Impact,Montreal,Quebec,CAN,Eastern,,,,,,,,,
New England Revolution,Boston,Massachusetts,USA,Eastern,,,,,,,,,
New York City FC,New York,New York,USA,Eastern,,,,,,,,,
Orlando City SC,Orlando,Florida,USA,Eastern,,,,,,,,,
Philadelphia Union,Chester,Pennsylvania,USA,Eastern,,,,,,,,,
Portland Timbers,Portland,Oregon,USA,Western,,,,,,,,,
New York Red Bulls,New York,New York,USA,Eastern,,,,,,,,,
Real Salt Lake,Salt Lake City,Utah,USA,Western,,,,,,,,,
Seattle Sounders FC,Seattle,Washington,USA,Western,,,,,,,,,
San Jose Earthquakes,San Jose,California,USA,Western,,,,,,,,,
Sporting Kansas City,Kansas City,Kansas,USA,Western,,,,,,,,,
Toronto FC,Toronto,Ontario,CAN,Eastern,,,,,,,,,
Vancouver Whitecaps,Vancouver,British Columbia,CAN,Western,,,,,,,,,
FC Cincinnati,Cincinnati,Ohio,USA,Eastern,,,,,,,,,
Nashville SC,Nashville,Tennessee,USA,Eastern,,,,,,,,,
Inter Miami CF,Miami,Florida,USA,Eastern,,,,,,,,,
Tampa Bay Mutinity,Tampa,Florida,USA,Eastern,,,,,,,,,
Miami Fusion,Miami,Florida,USA,Eastern,,,,,,,,,
